('pid constants ', array([  2.48064616e-01,   6.73878552e-05,   3.41097719e-03]))
('pid constants ', array([  2.48064616e-01,   6.73878552e-05,   3.41097719e-03]))
('pid constants ', array([ 0.12472434,  0.00090956,  0.00946645]))
('pid constants ', array([ 0.12472434,  0.00090956,  0.00946645]))
('pid constants ', array([ 0.12472434,  0.00090956,  0.00946645]))
('pid constants ', array([ 0.12472434,  0.00090956,  0.00946645]))
('pid constants ', array([ 0.12472434,  0.00090956,  0.00946645]))
('pid constants ', array([ 0.44562052,  0.00086197,  0.00359367]))
('pid constants ', array([ 0.44562052,  0.00086197,  0.00359367]))
('pid constants ', array([ 0.44562052,  0.00086197,  0.00359367]))
('pid constants ', array([ 0.44562052,  0.00086197,  0.00359367]))
('pid constants ', array([ 0.44562052,  0.00086197,  0.00359367]))
('pid constants ', array([  8.30098205e-01,   1.93734661e-04,   4.85085678e-03]))
('pid constants ', array([  8.30098205e-01,   1.93734661e-04,   4.85085678e-03]))
('pid constants ', array([  8.30098205e-01,   1.93734661e-04,   4.85085678e-03]))
('pid constants ', array([  8.30098205e-01,   1.93734661e-04,   4.85085678e-03]))
('pid constants ', array([  8.30098205e-01,   1.93734661e-04,   4.85085678e-03]))
('pid constants ', array([  2.77182929e-01,   2.06762603e-05,   3.70743381e-03]))
('pid constants ', array([  2.77182929e-01,   2.06762603e-05,   3.70743381e-03]))
('pid constants ', array([  2.77182929e-01,   2.06762603e-05,   3.70743381e-03]))
('pid constants ', array([  2.77182929e-01,   2.06762603e-05,   3.70743381e-03]))
('pid constants ', array([  2.77182929e-01,   2.06762603e-05,   3.70743381e-03]))
('pid constants ', array([  7.94923021e-01,   2.92915842e-04,   4.88639546e-03]))
('pid constants ', array([ 0.46503872,  0.00050589,  0.00264398]))
('pid constants ', array([ 0.46503872,  0.00050589,  0.00264398]))
('pid constants ', array([ 0.46503872,  0.00050589,  0.00264398]))
('pid constants ', array([ 0.46503872,  0.00050589,  0.00264398]))
('pid constants ', array([ 0.46503872,  0.00050589,  0.00264398]))
('pid constants ', array([  8.67327214e-01,   5.21403688e-04,   2.71443925e-03]))
('pid constants ', array([  8.67327214e-01,   5.21403688e-04,   2.71443925e-03]))
('pid constants ', array([  8.67327214e-01,   5.21403688e-04,   2.71443925e-03]))
('pid constants ', array([  8.67327214e-01,   5.21403688e-04,   2.71443925e-03]))
('pid constants ', array([  8.67327214e-01,   5.21403688e-04,   2.71443925e-03]))
('pid constants ', array([ 0.42867739,  0.00067631,  0.00808169]))
('pid constants ', array([ 0.42867739,  0.00067631,  0.00808169]))
('pid constants ', array([ 0.42867739,  0.00067631,  0.00808169]))
('pid constants ', array([ 0.42867739,  0.00067631,  0.00808169]))
('pid constants ', array([ 0.42867739,  0.00067631,  0.00808169]))
('pid constants ', array([ 0.31930329,  0.0004955 ,  0.00842667]))
('pid constants ', array([ 0.31930329,  0.0004955 ,  0.00842667]))
('pid constants ', array([ 0.31930329,  0.0004955 ,  0.00842667]))
('pid constants ', array([ 0.31930329,  0.0004955 ,  0.00842667]))
('pid constants ', array([ 0.31930329,  0.0004955 ,  0.00842667]))
('pid constants ', array([  2.52017688e-01,   7.38179680e-05,   7.34763440e-05]))
('pid constants ', array([  2.52017688e-01,   7.38179680e-05,   7.34763440e-05]))
('pid constants ', array([  2.52017688e-01,   7.38179680e-05,   7.34763440e-05]))
('pid constants ', array([  2.52017688e-01,   7.38179680e-05,   7.34763440e-05]))
('pid constants ', array([  2.52017688e-01,   7.38179680e-05,   7.34763440e-05]))
('pid constants ', array([ 0.39287579,  0.00062249,  0.0073318 ]))
